Episode 257/2000 => steps=1000, reward=19778.610, coverage=81/100 (81.0%)
Episode 258/2000 => steps=529, reward=11535.030, coverage=80/100 (80.0%)
Episode 259/2000 => steps=556, reward=10815.020, coverage=69/100 (69.0%)
Episode 260/2000 => steps=1000, reward=20794.000, coverage=68/100 (68.0%)
Episode 261/2000 => steps=1000, reward=21208.270, coverage=85/100 (85.0%)
Episode 262/2000 => steps=925, reward=15230.110, coverage=73/100 (73.0%)
Episode 263/2000 => steps=1000, reward=18677.210, coverage=80/100 (80.0%)
Episode 264/2000 => steps=663, reward=12729.640, coverage=73/100 (73.0%)
Episode 265/2000 => steps=1000, reward=18859.090, coverage=72/100 (72.0%)
Episode 266/2000 => steps=1000, reward=19718.900, coverage=82/100 (82.0%)
Episode 267/2000 => steps=659, reward=13171.760, coverage=72/100 (72.0%)
Episode 268/2000 => steps=964, reward=17259.140, coverage=72/100 (72.0%)
Episode 269/2000 => steps=582, reward=12807.410, coverage=80/100 (80.0%)
Episode 270/2000 => steps=1000, reward=21592.280, coverage=80/100 (80.0%)
Episode 271/2000 => steps=798, reward=14558.350, coverage=79/100 (79.0%)
Episode 272/2000 => steps=925, reward=18177.720, coverage=78/100 (78.0%)
Episode 273/2000 => steps=1000, reward=21261.250, coverage=87/100 (87.0%)
Episode 274/2000 => steps=1000, reward=19208.180, coverage=75/100 (75.0%)
Episode 275/2000 => steps=831, reward=13224.620, coverage=78/100 (78.0%)
Episode 276/2000 => steps=1000, reward=20674.660, coverage=80/100 (80.0%)
Episode 277/2000 => steps=756, reward=15733.080, coverage=80/100 (80.0%)
Episode 278/2000 => steps=709, reward=15345.090, coverage=88/100 (88.0%)
Episode 279/2000 => steps=651, reward=11604.380, coverage=59/100 (59.0%)
Episode 280/2000 => steps=583, reward=13229.540, coverage=87/100 (87.0%)
Episode 281/2000 => steps=511, reward=9649.820, coverage=68/100 (68.0%)
Episode 282/2000 => steps=914, reward=20292.340, coverage=80/100 (80.0%)
Episode 283/2000 => steps=775, reward=15389.760, coverage=77/100 (77.0%)
Episode 284/2000 => steps=861, reward=18619.260, coverage=77/100 (77.0%)
Episode 285/2000 => steps=676, reward=12703.610, coverage=66/100 (66.0%)
Episode 286/2000 => steps=830, reward=16042.570, coverage=72/100 (72.0%)
Episode 287/2000 => steps=910, reward=18604.680, coverage=71/100 (71.0%)
Episode 288/2000 => steps=1000, reward=20331.600, coverage=78/100 (78.0%)
Episode 289/2000 => steps=804, reward=16778.570, coverage=80/100 (80.0%)
Episode 290/2000 => steps=1000, reward=18582.280, coverage=68/100 (68.0%)
Episode 291/2000 => steps=585, reward=10837.970, coverage=66/100 (66.0%)
Episode 292/2000 => steps=904, reward=16206.920, coverage=66/100 (66.0%)
Episode 293/2000 => steps=829, reward=15273.860, coverage=83/100 (83.0%)
Episode 294/2000 => steps=1000, reward=17572.140, coverage=78/100 (78.0%)
Episode 295/2000 => steps=1000, reward=17194.860, coverage=68/100 (68.0%)
Episode 296/2000 => steps=953, reward=17243.900, coverage=67/100 (67.0%)
Episode 297/2000 => steps=584, reward=9506.550, coverage=58/100 (58.0%)
Episode 298/2000 => steps=1000, reward=17054.270, coverage=67/100 (67.0%)
Episode 299/2000 => steps=562, reward=10238.480, coverage=68/100 (68.0%)
Episode 300/2000 => steps=977, reward=21512.000, coverage=80/100 (80.0%)
Episode 301/2000 => steps=791, reward=14047.660, coverage=71/100 (71.0%)
Episode 302/2000 => steps=815, reward=14180.650, coverage=78/100 (78.0%)
Episode 303/2000 => steps=546, reward=10453.500, coverage=71/100 (71.0%)
Episode 304/2000 => steps=917, reward=17944.710, coverage=69/100 (69.0%)
Episode 305/2000 => steps=746, reward=12975.300, coverage=76/100 (76.0%)
Episode 306/2000 => steps=825, reward=15961.780, coverage=75/100 (75.0%)
Episode 307/2000 => steps=984, reward=19269.910, coverage=74/100 (74.0%)
Episode 308/2000 => steps=1000, reward=17721.880, coverage=84/100 (84.0%)
Episode 309/2000 => steps=872, reward=18070.990, coverage=90/100 (90.0%)
Episode 310/2000 => steps=1000, reward=18988.880, coverage=69/100 (69.0%)
Episode 311/2000 => steps=776, reward=14127.670, coverage=78/100 (78.0%)
Episode 312/2000 => steps=655, reward=13600.010, coverage=84/100 (84.0%)
Episode 313/2000 => steps=657, reward=12484.920, coverage=74/100 (74.0%)
Episode 314/2000 => steps=1000, reward=20174.540, coverage=77/100 (77.0%)
Episode 315/2000 => steps=668, reward=11467.850, coverage=66/100 (66.0%)
Episode 316/2000 => steps=609, reward=11123.200, coverage=73/100 (73.0%)
Episode 317/2000 => steps=517, reward=7632.800, coverage=63/100 (63.0%)
Episode 318/2000 => steps=912, reward=19519.140, coverage=78/100 (78.0%)
Episode 319/2000 => steps=1000, reward=18845.090, coverage=72/100 (72.0%)
Episode 320/2000 => steps=533, reward=11441.240, coverage=80/100 (80.0%)
Episode 321/2000 => steps=746, reward=14810.330, coverage=77/100 (77.0%)
Episode 322/2000 => steps=670, reward=15447.580, coverage=81/100 (81.0%)
Episode 323/2000 => steps=684, reward=12105.240, coverage=66/100 (66.0%)
Episode 324/2000 => steps=1000, reward=21557.470, coverage=75/100 (75.0%)
Episode 325/2000 => steps=1000, reward=21983.270, coverage=80/100 (80.0%)
Episode 326/2000 => steps=1000, reward=19742.790, coverage=69/100 (69.0%)
Episode 327/2000 => steps=1000, reward=18453.970, coverage=83/100 (83.0%)
Episode 328/2000 => steps=775, reward=14428.510, coverage=68/100 (68.0%)
Episode 329/2000 => steps=975, reward=19197.010, coverage=77/100 (77.0%)
Episode 330/2000 => steps=1000, reward=18964.510, coverage=78/100 (78.0%)
Episode 331/2000 => steps=1000, reward=20008.720, coverage=85/100 (85.0%)
Episode 332/2000 => steps=921, reward=17925.010, coverage=69/100 (69.0%)
Episode 333/2000 => steps=857, reward=17053.100, coverage=82/100 (82.0%)
Episode 334/2000 => steps=1000, reward=18955.680, coverage=77/100 (77.0%)
Episode 335/2000 => steps=758, reward=12738.880, coverage=83/100 (83.0%)
Episode 336/2000 => steps=1000, reward=20012.700, coverage=78/100 (78.0%)
Episode 337/2000 => steps=1000, reward=16792.070, coverage=69/100 (69.0%)
Episode 338/2000 => steps=555, reward=9329.770, coverage=74/100 (74.0%)
Episode 339/2000 => steps=1000, reward=18802.930, coverage=84/100 (84.0%)
Episode 340/2000 => steps=718, reward=11380.950, coverage=67/100 (67.0%)
Episode 341/2000 => steps=1000, reward=22441.690, coverage=74/100 (74.0%)
Episode 342/2000 => steps=1000, reward=18781.290, coverage=71/100 (71.0%)
Episode 343/2000 => steps=1000, reward=20798.870, coverage=80/100 (80.0%)
Episode 344/2000 => steps=929, reward=16675.130, coverage=78/100 (78.0%)
Episode 345/2000 => steps=537, reward=11528.930, coverage=70/100 (70.0%)
Episode 346/2000 => steps=956, reward=19747.050, coverage=88/100 (88.0%)
Episode 347/2000 => steps=980, reward=18409.260, coverage=68/100 (68.0%)
Episode 348/2000 => steps=552, reward=10733.920, coverage=67/100 (67.0%)
Episode 349/2000 => steps=743, reward=12405.790, coverage=65/100 (65.0%)
Episode 350/2000 => steps=571, reward=11221.510, coverage=76/100 (76.0%)
Episode 351/2000 => steps=859, reward=17621.810, coverage=87/100 (87.0%)
Episode 352/2000 => steps=794, reward=15700.270, coverage=68/100 (68.0%)
Episode 353/2000 => steps=1000, reward=20129.160, coverage=81/100 (81.0%)
Episode 354/2000 => steps=621, reward=13436.730, coverage=70/100 (70.0%)
Episode 355/2000 => steps=1000, reward=20730.180, coverage=71/100 (71.0%)
Episode 356/2000 => steps=1000, reward=20069.350, coverage=80/100 (80.0%)
Episode 357/2000 => steps=1000, reward=19868.700, coverage=82/100 (82.0%)
Episode 358/2000 => steps=726, reward=14982.510, coverage=75/100 (75.0%)
Episode 359/2000 => steps=694, reward=12313.680, coverage=80/100 (80.0%)
Episode 360/2000 => steps=657, reward=15344.870, coverage=77/100 (77.0%)
Episode 361/2000 => steps=1000, reward=16683.200, coverage=68/100 (68.0%)
Episode 362/2000 => steps=1000, reward=19705.990, coverage=86/100 (86.0%)
Episode 363/2000 => steps=979, reward=19126.890, coverage=78/100 (78.0%)
Episode 364/2000 => steps=1000, reward=21461.940, coverage=76/100 (76.0%)
Episode 365/2000 => steps=790, reward=17070.280, coverage=69/100 (69.0%)
